sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
2068	0.487401	0.00151747	4.99639e-07	1.81996e-06	0.00231011	0.149294	0.149294	0
2098	0.488799	0.000268489	1.07853e-06	1.5194e-06	0.00231011	0.149294	0.149294	0
2084	0.492081	0.00276822	1.67664e-06	1.6219e-06	0.00231011	0.149294	0.149294	0
2028	0.494046	0.00449625	1.02629e-05	2.24475e-06	0.00231011	0.149294	0.149294	0
1967	0.495253	0.00554916	2.53319e-05	4.00521e-06	0.00231012	0.149294	0.149294	0
1925	0.492922	0.0032002	3.16322e-06	4.18141e-06	0.00231012	0.149294	0.149294	0
1935	0.490906	0.00126821	9.59446e-07	4.09311e-06	0.00231012	0.149294	0.149294	0
1987	0.489189	0.000375867	9.98306e-07	3.78623e-06	0.00231013	0.149294	0.149294	0
2054	0.488989	0.000574142	4.93842e-09	3.27602e-06	0.00231013	0.149294	0.149294	0
2100	0.490439	0.000764847	1.44298e-06	3.37907e-06	0.00231013	0.149294	0.149294	0
2100	0.492676	0.00279465	1.63119e-06	3.49256e-06	0.00231014	0.149294	0.149294	0
2062	0.496337	0.00623953	3.56534e-05	5.97807e-06	0.00231014	0.149294	0.149294	0
2001	0.498033	0.00775811	2.4899e-05	7.70274e-06	0.00231015	0.149294	0.149294	0
1962	0.49977	0.0093998	2.40449e-05	9.4015e-06	0.00231016	0.149294	0.149294	0
1972	0.501991	0.0115535	3.60524e-05	1.1941e-05	0.00231017	0.149294	0.149294	0
2026	0.503616	0.0130953	9.79121e-05	1.88577e-05	0.00231019	0.149294	0.149294	0
2113	0.508192	0.0174761	0.000262694	3.75018e-05	0.00231023	0.149294	0.149294	0
2186	0.51321	0.0221674	0.00047487	7.0688e-05	0.0023103	0.149294	0.149294	0
2210	0.517121	0.0256457	0.000628583	0.000113777	0.00231041	0.149294	0.149294	0
2191	0.522428	0.0304641	0.000882043	0.000176555	0.00231059	0.149294	0.149294	0
2133	0.524732	0.0322976	0.000870421	0.000238659	0.00231083	0.149294	0.149294	0
2074	0.524533	0.0317048	0.000648479	0.000284908	0.00231111	0.149294	0.149294	0
2045	0.521849	0.0287153	0.000439202	0.000316279	0.00231143	0.149294	0.149294	0
2063	0.518564	0.025185	0.000249174	0.000333974	0.00231176	0.149294	0.149294	0
2111	0.514765	0.0211548	9.21837e-05	0.000340442	0.00231211	0.149294	0.149294	0
2160	0.511815	0.0179525	2.35925e-05	0.00033958	0.00231244	0.149294	0.149294	0
2170	0.508055	0.0139263	1.26008e-05	0.000338702	0.00231278	0.149294	0.149294	0
2126	0.503249	0.00886714	0.000176896	0.00034962	0.00231313	0.149294	0.149294	0
2039	0.496925	0.00239149	0.000540759	0.00038567	0.00231352	0.149294	0.149294	0
1910	0.481584	0.0129054	0.000308307	0.000400699	0.00231392	0.149294	0.149294	0
1795	0.462579	0.0316222	4.56098e-07	0.000381967	0.0023143	0.149294	0.149294	0
1720	0.441554	0.0521231	0.000416906	0.000377827	0.00231468	0.149294	0.149294	0
1690	0.421268	0.0717143	0.00184891	0.000464993	0.00231514	0.149294	0.149294	0
1676	0.401636	0.0904921	0.00426501	0.000706634	0.00231585	0.149294	0.149294	0
1660	0.386855	0.104307	0.00691437	0.00113834	0.00231699	0.149294	0.149294	0
1611	0.374952	0.115123	0.00944212	0.00176646	0.00231876	0.149294	0.149294	0
1540	0.368259	0.120652	0.0113904	0.00254869	0.0023213	0.149294	0.149294	0
1454	0.362472	0.125179	0.0135284	0.0034972	0.0023248	0.149294	0.149294	0
1399	0.360413	0.125933	0.0152624	0.00458079	0.00232938	0.149294	0.149294	0
1394	0.360376	0.124645	0.0124857	0.00547094	0.00233485	0.149294	0.149294	0
